value,upper name,name,size,flow control,opcode type, operand type,stack behaviour (pop),stack behaviour (push)
0x0000,Nop,nop,1,Next,Primitive,InlineNone,Pop0,Push0
0x0001,Break,break,1,Break,Primitive,InlineNone,Pop0,Push0
0x0002,Ldarg_0,ldarg.0,1,Next,Macro,InlineNone,Pop0,Push1
0x0003,Ldarg_1,ldarg.1,1,Next,Macro,InlineNone,Pop0,Push1
0x0004,Ldarg_2,ldarg.2,1,Next,Macro,InlineNone,Pop0,Push1
0x0005,Ldarg_3,ldarg.3,1,Next,Macro,InlineNone,Pop0,Push1
0x0006,Ldloc_0,ldloc.0,1,Next,Macro,InlineNone,Pop0,Push1
0x0007,Ldloc_1,ldloc.1,1,Next,Macro,InlineNone,Pop0,Push1
0x0008,Ldloc_2,ldloc.2,1,Next,Macro,InlineNone,Pop0,Push1
0x0009,Ldloc_3,ldloc.3,1,Next,Macro,InlineNone,Pop0,Push1
0x000a,Stloc_0,stloc.0,1,Next,Macro,InlineNone,Pop1,Push0
0x000b,Stloc_1,stloc.1,1,Next,Macro,InlineNone,Pop1,Push0
0x000c,Stloc_2,stloc.2,1,Next,Macro,InlineNone,Pop1,Push0
0x000d,Stloc_3,stloc.3,1,Next,Macro,InlineNone,Pop1,Push0
0x000e,Ldarg_S,ldarg.s,1,Next,Macro,ShortInlineVar,Pop0,Push1
0x000f,Ldarga_S,ldarga.s,1,Next,Macro,ShortInlineVar,Pop0,Pushi
0x0010,Starg_S,starg.s,1,Next,Macro,ShortInlineVar,Pop1,Push0
0x0011,Ldloc_S,ldloc.s,1,Next,Macro,ShortInlineVar,Pop0,Push1
0x0012,Ldloca_S,ldloca.s,1,Next,Macro,ShortInlineVar,Pop0,Pushi
0x0013,Stloc_S,stloc.s,1,Next,Macro,ShortInlineVar,Pop1,Push0
0x0014,Ldnull,ldnull,1,Next,Primitive,InlineNone,Pop0,Pushref
0x0015,Ldc_I4_M1,ldc.i4.m1,1,Next,Macro,InlineNone,Pop0,Pushi
0x0016,Ldc_I4_0,ldc.i4.0,1,Next,Macro,InlineNone,Pop0,Pushi
0x0017,Ldc_I4_1,ldc.i4.1,1,Next,Macro,InlineNone,Pop0,Pushi
0x0018,Ldc_I4_2,ldc.i4.2,1,Next,Macro,InlineNone,Pop0,Pushi
0x0019,Ldc_I4_3,ldc.i4.3,1,Next,Macro,InlineNone,Pop0,Pushi
0x001a,Ldc_I4_4,ldc.i4.4,1,Next,Macro,InlineNone,Pop0,Pushi
0x001b,Ldc_I4_5,ldc.i4.5,1,Next,Macro,InlineNone,Pop0,Pushi
0x001c,Ldc_I4_6,ldc.i4.6,1,Next,Macro,InlineNone,Pop0,Pushi
0x001d,Ldc_I4_7,ldc.i4.7,1,Next,Macro,InlineNone,Pop0,Pushi
0x001e,Ldc_I4_8,ldc.i4.8,1,Next,Macro,InlineNone,Pop0,Pushi
0x001f,Ldc_I4_S,ldc.i4.s,1,Next,Macro,ShortInlineI,Pop0,Pushi
0x0020,Ldc_I4,ldc.i4,1,Next,Primitive,InlineI,Pop0,Pushi
0x0021,Ldc_I8,ldc.i8,1,Next,Primitive,InlineI8,Pop0,Pushi8
0x0022,Ldc_R4,ldc.r4,1,Next,Primitive,ShortInlineR,Pop0,Pushr4
0x0023,Ldc_R8,ldc.r8,1,Next,Primitive,InlineR,Pop0,Pushr8
0x0025,Dup,dup,1,Next,Primitive,InlineNone,Pop1,Push1_push1
0x0026,Pop,pop,1,Next,Primitive,InlineNone,Pop1,Push0
0x0027,Jmp,jmp,1,Call,Primitive,InlineMethod,Pop0,Push0
0x0028,Call,call,1,Call,Primitive,InlineMethod,Varpop,Varpush
0x0029,Calli,calli,1,Call,Primitive,InlineSig,Varpop,Varpush
0x002a,Ret,ret,1,Return,Primitive,InlineNone,Varpop,Push0
0x002b,Br_S,br.s,1,Branch,Macro,ShortInlineBrTarget,Pop0,Push0
0x002c,Brfalse_S,brfalse.s,1,Cond_Branch,Macro,ShortInlineBrTarget,Popi,Push0
0x002d,Brtrue_S,brtrue.s,1,Cond_Branch,Macro,ShortInlineBrTarget,Popi,Push0
0x002e,Beq_S,beq.s,1,Cond_Branch,Macro,ShortInlineBrTarget,Pop1_pop1,Push0
0x002f,Bge_S,bge.s,1,Cond_Branch,Macro,ShortInlineBrTarget,Pop1_pop1,Push0
0x0030,Bgt_S,bgt.s,1,Cond_Branch,Macro,ShortInlineBrTarget,Pop1_pop1,Push0
0x0031,Ble_S,ble.s,1,Cond_Branch,Macro,ShortInlineBrTarget,Pop1_pop1,Push0
0x0032,Blt_S,blt.s,1,Cond_Branch,Macro,ShortInlineBrTarget,Pop1_pop1,Push0
0x0033,Bne_Un_S,bne.un.s,1,Cond_Branch,Macro,ShortInlineBrTarget,Pop1_pop1,Push0
0x0034,Bge_Un_S,bge.un.s,1,Cond_Branch,Macro,ShortInlineBrTarget,Pop1_pop1,Push0
0x0035,Bgt_Un_S,bgt.un.s,1,Cond_Branch,Macro,ShortInlineBrTarget,Pop1_pop1,Push0
